20.0 tensor([  0.,   0., 100.,   0.,   0.])
21.4 tensor([66.8000,  0.0000, 40.2000,  0.0000,  0.0000])
20.599999999999998 tensor([50.6000,  0.0000, 34.0000,  0.0000, 18.4000])
25.64 tensor([90.2000,  0.0000, 17.6000,  0.0000, 20.4000])
26.08 tensor([100.0000,   0.0000,  12.4000,   0.0000,  18.0000])
24.84 tensor([85.0000, 24.2000, 15.0000,  0.0000,  0.0000])
31.0 tensor([94.8000, 21.8000, 22.0000,  0.0000, 16.4000])
33.160000000000004 tensor([100.0000,  18.2000,  34.4000,   0.0000,  13.2000])
32.519999999999996 tensor([93.2000, 26.0000, 32.2000,  0.0000, 11.2000])
32.28 tensor([90.0000, 24.4000, 36.8000,  0.0000, 10.2000])
32.08 tensor([100.0000,  21.0000,  39.4000,   0.0000,   0.0000])
32.28 tensor([100.0000,  23.0000,  38.4000,   0.0000,   0.0000])
34.12 tensor([100.0000,  25.2000,  45.4000,   0.0000,   0.0000])
30.159999999999997 tensor([100.0000,   0.0000,  50.8000,   0.0000,   0.0000])
40.08 tensor([100.0000,  51.8000,  48.6000,   0.0000,   0.0000])
43.0 tensor([100.0000,  49.2000,  52.8000,  13.0000,   0.0000])
45.72 tensor([100.0000,  60.8000,  52.0000,  15.8000,   0.0000])
43.24 tensor([99.2000, 67.0000, 50.0000,  0.0000,  0.0000])
43.56 tensor([99.8000, 67.2000, 50.8000,  0.0000,  0.0000])
43.96 tensor([99.2000, 73.4000, 47.2000,  0.0000,  0.0000])
44.96 tensor([99.6000, 73.0000, 52.2000,  0.0000,  0.0000])
50.68 tensor([100.0000,  78.2000,  52.2000,  23.0000,   0.0000])
46.28 tensor([100.0000,  81.0000,  50.4000,   0.0000,   0.0000])
52.239999999999995 tensor([100.0000,  78.4000,  54.8000,  28.0000,   0.0000])
45.4 tensor([100.0000,  69.4000,  57.6000,   0.0000,   0.0000])
51.519999999999996 tensor([100.0000,  72.6000,  68.0000,  17.0000,   0.0000])
55.279999999999994 tensor([100.0000, 100.0000,  76.4000,   0.0000,   0.0000])
52.400000000000006 tensor([100.0000,  81.4000,  73.2000,   7.4000,   0.0000])
58.56 tensor([100.0000,  99.8000,  93.0000,   0.0000,   0.0000])
59.24 tensor([100.0000,  97.0000,  99.2000,   0.0000,   0.0000])
59.919999999999995 tensor([100.0000, 100.0000,  99.6000,   0.0000,   0.0000])
59.88 tensor([100.0000, 100.0000,  99.4000,   0.0000,   0.0000])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
59.72 tensor([100.0000,  98.6000, 100.0000,   0.0000,   0.0000])
59.88 tensor([100.0000,  99.4000, 100.0000,   0.0000,   0.0000])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
59.88 tensor([100.0000,  99.4000, 100.0000,   0.0000,   0.0000])
59.919999999999995 tensor([ 99.6000, 100.0000, 100.0000,   0.0000,   0.0000])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
40.0 tensor([  0., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
40.0 tensor([  0., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
59.4 tensor([100.,  97., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
60.0 tensor([100., 100., 100.,   0.,   0.])
40.0 tensor([100., 100.,   0.,   0.,   0.])
